Test	RAM usage (MB)	ms/run, multi-core	relative, multi-core	ms/run, single-core	relative, single-core	
no-op	-	0.01	0.026	-	-	
reference	1.0	0.56	0.999	0.56	1.010	
bash	3.3	2.62	4.690	2.62	4.691	
c32	0.9	0.56	1.003	0.58	1.031	
c64	1.0	0.58	1.041	0.60	1.073	
cpp32	1.9	1.13	2.014	1.17	2.091	
cpp64	2.3	1.09	1.941	1.04	1.864	
csharp	18.4	12.53	22.404	12.80	22.877	
java	29.8	55.57	99.334	55.83	99.802	
node	25.8	47.44	84.805	45.93	82.108	
perl	3.9	1.45	2.591	1.46	2.613	
python2.7	6.2	10.41	18.601	10.52	18.802	
python3.6	7.8	18.66	33.354	18.86	33.713	
sh	3.3	2.71	4.849	2.76	4.931	
sourced script	-	0.02	0.043	-	-	
